锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F48560CB,瑞浦,51.2,560.0,1003x787x520,1200.0,N/A,N/A,280,16S2P,48,1008,型号：F48560CB冷库叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1003*787*520mm) 带配重，配重1008KG，总重量：1200KG，带加热功能，带4G模块，BMS-自研。（叉车使用环境在极寒的地区，有时会用于冷库环境，设计上要考虑加热保温功能，放置状态开机的情况下有放电加热功能，放干燥剂，加强箱体密封性（防水等级）等措施）,1003.0,787.0,520.0,1057,1
F24210AS,EVE,25.6,210.0,635x180x650,,N/A,N/A,105,8S2P,24,16,型号：F24210AS叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（635*180*650mm）带配重，铁块重量16KG，带加热功能，带4G模块，BMS-自研。,635.0,180.0,650.0,120,0
F24150X,瑞浦,25.6,150.0,650x135x650,82.0,N/A,Yale MPB045VG,50,8S3P,24,-,"型号：F24150X叉车项目; 电芯：瑞浦50Ah ，组合方式：8S3P, 电压：25.6V ,容量：150Ah ,电量：3.84KWh，箱体尺寸：650*135x650mm，重量82kg，不带加热，不带4G模块，放电插头：SB175  ,充电插头160A DIN REMA MALE，自研BMS。（叉车型号：YALE MPB045VG）",650.0,135.0,650.0,67,1
F24210L,EVE,25.6,210.0,627x624x284,,N/A,N/A,105,8S2P,24,222,型号：F24210L叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（627*624*284mm）带配重，铁块重量222KG，带加热功能，带4G模块，BMS-自研。,627.0,624.0,284.0,141,0
F48420CB,EVE,51.2,420.0,830x520x625,710.0,N/A,N/A,105,16S4P,48,490,型号：F48420CB叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：830x520x625mm）配重490kg，总重量：710KG，带加热，带4G模块，BMS-自研。,830.0,520.0,625.0,806,0
F36840I,瑞浦,38.4,840.0,973x508x746.5,1179.3,N/A,N/A,280,12S3P,36,817,"型号：F36840I叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：973*508*746.5mm）带配重，铁块重量：817KG，总重量：1179.3kg，带4G模块，带加热功能，BMS-自研。",973.0,508.0,746.5,598,1
F80460M,EVE,83.2,460.0,1000x830x625,1382.0,N/A,N/A,230,25S2P,80,928,型号：F80460M叉车项目： 电芯：EVE230Ah ，组合方式：25S2P 电压：83.2V 容量：460Ah 电量：36.8KWh（箱体尺寸：1000x830x625mm）配重重量：928kg，总重量：1382kg，带加热功能，预留4G模块，BMS-自研。,1000.0,830.0,625.0,1414,0
F80460AD,EVE,83.2,460.0,1028x711x744,1558.0,N/A,Doosan B25X-7,230,26S2P,80,1016,型号：F80460AD叉车项目： 电芯：EVE160Ah ，组合方式：26S2P 电压：83.2V 容量：460Ah 电量：38.272KWh（箱体尺寸：1028*711*744mm），配重重量：1016kg，总重量：1558KG，带加热功能，带4G模块，自研BMS。（叉车型号：Doosan B25X-7 ）,1028.0,711.0,744.0,1390,0
F24420B,EVE,25.6,420.0,800x330x750,,N/A,N/A,105,8S4P,24,-,型号：F24420B叉车项目： 电芯：EVELF105 组合方式：8S4P 电压：25.6V 容量：420Ah 电量：10.752KWh（800*330*750mm），带配重。,800.0,330.0,750.0,288,0
F48608E,EVE,51.2,608.0,990x980x330,315.0,N/A,N/A,304,16S2P,48,0,型号：F48608E叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh。（箱体尺寸：990×980×330mm）不带配重，重量：315kg，BMS-自研，带4G模块功能，带加热功能。,990.0,980.0,330.0,1160,0
F48560X,瑞浦,51.2,560.0,-,,N/A,N/A,280,16S2P,48,0,型号：F48560X叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（按最新尺寸进行设计) 不带配重，BMS-自研,,,,1141,1
F48560BU,瑞浦,51.2,560.0,980x680x595,1100.0,N/A,Hyster E50XN,280,16S2P,48,750,型号：F48560BU叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：980*680*595mm) 带配重，配重750KG，总重量：1100KG，不带加热功能，带4G模块，BMS-自研。（叉车型号Hyster E50XN）,980.0,680.0,595.0,1048,1
F80560U,瑞浦,80.0,560.0,1009x832x749,2136.0,N/A,N/A,280,25S2P,80,1671,型号：F80560U叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1009*832*749mm）总重量：2136kg，带配重，铁块重量：1671KG，带加热功能，带4G模块，自研BMS，适配Ecotec充电机,1009.0,832.0,749.0,1452,1
F24460D,EVE,25.6,460.0,785x330x665,,N/A,N/A,230,8S2P,24,322,"型号：F24460D叉车项目： 电芯：EVELF230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（785x330x665mm），带配重，铁块重量：322kg，带加热功能,带4G模块,BMS-自研。",785.0,330.0,665.0,316,0
F24280Z,瑞浦,25.6,280.0,600x200x600,84.0,N/A,Linde T20SP,280,8S1P,24,-,型号：F24280Z叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh；总重量：84KG，箱体尺寸：（600 x 200x 600mm）；带加热功能，带4G模块，BMS-自研。（叉车型号：Linde T20SP）,600.0,200.0,600.0,224,1
F48560DF,瑞浦,51.2,560.0,970x755x571,1282.0,N/A,Crown FC5225-52,280,16S2P,48,841,型号：F48560DF叉车项目； 电芯：瑞浦LF280Ah； 组合方式：16S2P ；电压：51.2V ；容量：560Ah ；电量：28.672KWh。（箱体尺寸：970*755*571mm) ，总重量1282KG，配重841KG， 带4G模块，带加热功能，放电线接口为Anderson SBE320蓝色，放电线长2m；充电线长3M，显示屏线长5M，自研BMS。（叉车型号：Crown FC 5225-52）,970.0,755.0,571.0,1085,1
F48315AC,EVE,51.2,315.0,955x375x570,480.0,N/A,Toyota 7/8FB15,105,16S3P,48,270,型号：F48315AC叉车项目： 电芯：EVELF105 ，组合方式：16S3P ，电压：51.2V ，容量：315Ah ，电量：15.120KWh，箱体尺寸：955*375*570mm，带配重270KG，总重量480KG，带4G模块，带加热功能，自研BMS。（叉车型号：TOYOTA 7/8FB15  7/8FB18）,955.0,375.0,570.0,705,0
F24304I,EVE,25.6,304.0,620x280x623,320.0,N/A,CrownWT 3000/ET 4000 4m/ET4000 5m,304,8S1P,24,213,型号：F24304I叉车项目： 电芯：EVE304 组合方式：8S1P 电压：25.6V 容量：304Ah 电量：7.782KWh（620×280×623mm）总重量320kg，配重213KG，带加热功能，带优克联4G模块，BMS-自研。（叉车型号：Crown WT 3000/Et 4000 4m/Et 4000 5m）,620.0,280.0,623.0,236,0
F48560DR,瑞浦,51.2,560.0,1220x494x782,1530.0,N/A,Manitou ER20HD,280,16S2P,48,1190,型号：F48560DR叉车项目；电芯：瑞浦LF280Ah，组合方式：16S2P， 电压：51.2V， 容量：560Ah， 电量：28.672KWh，尺寸：1220*494*782mm，配重1190KG；总重量：1530kg，带加热，带4G，放电插头：Anderson SBE320 (blue)，放电线长0.7M 屏幕线3M;BMS-自研。（叉车型号：Manitou  ER20HD）,1220.0,494.0,782.0,1095,1
F36560AE,瑞浦,38.4,560.0,670x868x595,861.8,N/A,N/A,280,12S2P,36,599,型号：F36560AE叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：670 x 868x 595mm）带配重，铁块重量：599kg，总重量：861.8KG，BMS-自研，带加热功能，带4G模块。,670.0,868.0,595.0,402,1
F24105G,EVE,25.6,105.0,827x216x462,,N/A,N/A,105,8S1P,24,0,"型号：F24105G,叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（尺寸：827 x 216 x 462 mm）不带配重，带加热功能，带4G模块，自研BMS。",827.0,216.0,462.0,39,0
F24560J,瑞浦,25.6,560.0,779x325x622,385.5,N/A,N/A,280,8S2P,24,219,"型号：F24560J叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P 电压：25.6V 容量：560Ah 电量：14.336KWh（箱体最大尺寸：779*325*622mm）,带配重219kg，总重量385.5kg，带加热功能，带4G模块，自研BMS。(美国HYG，带通讯协议,适配美国Ecotech充电器）",779.0,325.0,622.0,346,1
F48560K,瑞浦,51.2,560.0,970x680x570,,N/A,N/A,280,16S2P,48,-,型号：F48560K 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：970*680*570mm) 带配重，  放电插头：SB350 Blue,970.0,680.0,570.0,1125,1
F48460BL,EVE,51.2,460.0,1035x1000x535,1150.0,N/A,N/A,230,16S2P,48,825,型号：F48460BL叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：1035*1000*535mm）带配重，铁块重量：825KG，总重量：1150KG，带4G模块，不带加热，BMS-自研。,1035.0,1000.0,535.0,894,0
F36314A,瑞浦,38.4,314.0,896.5x414x685.5,612.0,N/A,Motrec MT-210,314,12S1P,36,450,"型号：F36314A叉车项目； 电芯：瑞浦314Ah； 组合方式：12S1P； 电压：38.4V； 容量：314Ah； 电量：12.057KWh（尺寸：896.5×414×685.5mm）总重量：612kg，配重450KG，带加热功能，带4G模块，加顶盖,放电插头：Anderson SB350 Gray ；BMS-自研。（叉车型号：MOTREC MT-210）",896.5,414.0,685.5,379,1
F24210AH-A,EVE,25.6,210.0,780x325x570,362.0,N/A,Hyster B60ZHD,105,8S2P,24,-,"型号：F24210AH-A叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（780*325*570mm），总重量362kg。带加热，带4G模块,自研BMS。（叉车型号：Hyster B60ZHD；充电器：built-in charger）",780.0,325.0,570.0,106,0
F90840A,瑞浦,89.6,840.0,1028x999x784,2178.0,N/A,Linde E50HL-1245,280,28S3P,90,1354,型号：F90840A叉车项目： 电芯：瑞浦280Ah 组合方式：28S3P 电压：90V 容量：840Ah 电量：75.6KWh。（箱体尺寸1028*999*784mm）配重：1354KG，总重量：2178KG，带4G模块功能，带加热功能，BMS-自研。（叉车型号：Linde E50HL-1245）,1028.0,999.0,784.0,1543,1
F24230Y,瑞浦,25.6,230.0,827x216x627,300.0,N/A,OMG 720BLK,230,8S1P,24,200,型号： F24230Y叉车项目; 电芯：瑞浦230Ah ，组合方式：8S1P； 电压：25.6V； 容量：230Ah； 电量：5.888KWh（箱体尺寸：827*216*627mm）;配重200KG；总重量：300KG，带4G模块，不带加热，放电插头: Anderson SBE 160 Red，屏幕线:5米，自研BMS。（叉车型号：OMG 720BLK）,827.0,216.0,627.0,187,1
F48280K,瑞浦,51.2,280.0,950x370x560,500.0,N/A,N/A,280,16S1P,48,330,"型号：F48280K叉车项目： 电芯：瑞浦280 组合方式：16S1P 电压：51.2V 容量：280Ah 电量：14.336KWh。（箱体尺寸：950*370*560mm）（带配重，铁块重量330kg,总重量500kg），带4G模块，带加热功能，BMS-自研",950.0,370.0,560.0,666,1
F80560V,瑞浦,80.0,560.0,1009x984x749,2182.0,N/A,N/A,280,25S2P,80,1717,型号：F80560V叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1009*984*749mm）总重量：2182kg，铁块重量：1717KG，带加热功能，带4G模块，自研BMS，适配Ecotec充电机,1009.0,984.0,749.0,1453,1
F48628D,瑞浦,51.2,628.0,973x678x579,1164.0,N/A,Yale ERP25VT,314,16S2P,48,740,型号：F48628D叉车项目： 电芯：瑞浦314Ah；组合方式：16S2P ；电压：51.2V； 容量：628Ah ；电量：32.154KWh，箱体尺寸：973*678*579mm，配重740KG，总重量1164KG，不带加热功能，不带4G模块，放电插头：SB320 Gray，自研BMS。(叉车型号：YALE ERP25VT),973.0,678.0,579.0,1182,1
F24420A,EVE,25.6,420.0,781x327x593,,N/A,N/A,105,8S4P,24,-,型号：F24420A叉车项目： 电芯：EVELF105 组合方式：8S4P 电压：25.6V 容量：420Ah 电量：10.752KWh（781*327*593mm）。,781.0,327.0,593.0,287,0
F36560A-A,EVE,38.4,560.0,970x350x780,,N/A,N/A,280,12S2P,36,500,型号：F36560A-A叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（970x350x780mm）带配重，铁块500kg，BMS-自研，带加热功能，带4G模块。,970.0,350.0,780.0,398,0
F80315C,EVE,80.0,315.0,942x800x571.5,,N/A,N/A,105,25S3P,80,-,"型号：F80315C叉车项目： 电芯：EVELF105 组合方式：25S3P 电压：80V 容量：315Ah 电量：25.2KWh（尺寸：942*800*571.5mm）自研BMS,带加热功能，带4G功能。",942.0,800.0,571.5,1352,0
F36560PA,瑞浦,38.4,560.0,970x403x780,750.0,N/A,N/A,280,12S2P,36,580,型号：F36560PA叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：970 x 403x 780mm）带配重，铁块重量：580KG，总重量：750KG，带加热功能，带4G模块，BMS-自研，,970.0,403.0,780.0,443,1
F48460APR-A,EVE,51.2,460.0,1223x355x784,1006.0,N/A,N/A,230,16S2P,48,659,型号：F48460APR-A 叉车项目： 电芯：EVE，230Ah 组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh。（箱体尺寸： 1223×355×784mm) 带配重，铁块重量：659kg 总重量：1006kg，带4G模块，带加热，BMS-自研。,1223.0,355.0,784.0,875,0
F80400M,瑞浦,80.0,400.0,1026x708x570,858.0,N/A,N/A,100,25S4P,80,447,型号：F80400M叉车项目： 电芯：瑞浦LF100Ah ，组合方式：25S4P; 电压：80V ;容量：400Ah ;电量：32KWh，箱体尺寸：1026*708*570mm，总重量858KG，配重：447KG，带加热功能，带4G模块，放电插头： REMA 320A Female （母头），BMS-自研。,1026.0,708.0,570.0,1360,1
F48690AU,瑞浦,51.2,690.0,984x466x744,1000.0,N/A,Hyundai,230,16S3P,48,638,型号：F48690AU叉车项目： 电芯：亿纬230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：984*466*744mm）带配重，铁块重量：638kg，总重量：1000kg，带加热功能，不带4G模块，BMS-自研。(韩国现代，带通讯协议）需要UL38.3认证,984.0,466.0,744.0,1203,1
F24304D-A,EVE,25.6,304.0,657x243x675,180.0,N/A,N/A,304,8S1P,24,85,型号：F24304D-A叉车项目： 电芯：EVELF304 组合方式：8S1P 电压：25.6V 容量：304Ah 电量：7.782KWh（657*243*675mm）配重重量85kg，总重量：180kg，带加热，带4G模块，自研BMS。,657.0,243.0,675.0,231,0
F48420D-A,EVE,51.2,420.0,620x960x630,,N/A,N/A,105,16S4P,48,750,型号：F48420D-A叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：620x960x630mm），BMS-自研，（带配重，铁块750kg）。,620.0,960.0,630.0,822,0
F24280AB,瑞浦,25.6,280.0,790x212x633,291.0,N/A,Crown ETi4000,280,8S1P,24,200,型号：F24280AB叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量200kg，总重量：291KG，箱体尺寸：790 x 212x 633mm）带加热功能，带4G模块，BMS-自研。（叉车型号：CROWN ETi4000；客户103097）,790.0,212.0,633.0,190,1
F80560I,瑞浦,80.0,560.0,1028x711x784,1558.0,N/A,Clark,280,25S2P,80,1035,"型号：F80560I叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1028*711*784mm）配重1035KG，总重量1558kg,带加热功能，带4G模块，自研BMS。（带通讯：Clark Euro协议）无需叉车显示屏，需电量显示小表头。",1028.0,711.0,784.0,1440,1
F48560CM,瑞浦,51.2,560.0,900x420x570,360.0,N/A,Toyota FBRE16,280,16S2P,48,0,型号：F48560CM叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：900*420*570mm) 无配重，总重量360KG，带加热功能，带4G模块，BMS-自研。（叉车型号：6FBRE16）,900.0,420.0,570.0,1066,1
F24420B-A,EVE,25.6,420.0,800x330x740,,N/A,N/A,105,8S4P,24,265,型号：F24420B-A叉车项目： 电芯：EVELF105 组合方式：8S4P 电压：25.6V 容量：420Ah 电量：10.752KWh（800*330*740mm），带配重，铁块重量265kg，带加热功能，带4G模块，BMS-自研。,800.0,330.0,740.0,289,0
F36560L,瑞浦,38.4,560.0,970x500x670,,N/A,N/A,280,12S2P,36,-,型号：F36560L叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：970*500*670mm）带配重。,970.0,500.0,670.0,439,1
F24560T,瑞浦,25.6,560.0,779x325x571,375.0,N/A,Yale MRW030,280,8S2P,24,210,型号：F24560T叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P，电压：25.6V ，容量：560Ah， 电量：14.336KWh，箱体尺寸：779*325*571mm，配重：210KG，总重量375kg，带加热功能，带4G模块，加顶盖，放电插头：Anderson 175 Red ，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯) ，自研BMS。（叉车型号：YALE  MRW030 ）,779.0,325.0,571.0,355,1
F48420CQ,EVE,51.2,420.0,970x350x550,300.0,N/A,Toyota 8FB25,105,16S4P,48,-,型号：F48420CQ叉车项目； 电芯：EVELF105 ；组合方式：16S4P； 电压：51.2V； 容量：420Ah ；电量：21.5KWh（箱体尺寸：970*350*550mm），总重量300KG±35KG，带４G模块和自动灭火器，不带充电加热，BMS-自研。(叉车型号： Toyota8FB25),970.0,350.0,550.0,818,0
F48460CV,瑞浦,51.2,460.0,820x728x617,1125.0,N/A,N/A,230,16S2P,48,835,型号：F48460CV叉车项目；电芯：瑞浦LF230Ah；组合方式：16S2P ；电压：51.2V ；容量：460Ah ；电量：23.552KWh。（箱体尺寸： 820*728*617mm）;配重835KG；总重量1125KG，带4G模块，带加热功能，带灭火功能，放电插头：安德森 EBC BLACK 320BMS-自研。,820.0,728.0,617.0,928,1
F48460EL,瑞浦,51.2,460.0,978x630x635,1030.0,N/A,Hyundai,230,16S2P,48,640,"型号：F48460EL叉车项目： 电芯：亿纬230Ah ，组合方式：16S2P， 电压：51.2V， 容量：460Ah ，电量：23.552KWh，箱体尺寸：978*630*635mm，配重：640KG，总重量：1030KG，自研BMS。叉车型号：HYUNDAI（参数按照项目F48690AR，仅仅是变更容量，从690AH变更到460AH）UL, CE, CB, UN38.3 认证,(韩国现代，带通讯协议）",978.0,630.0,635.0,961,1
F48210L-A,EVE,51.2,210.0,955x260x580,380.0,N/A,Toyota FBRA12-85C,105,16S2P,48,200,型号：F48210L-A叉车项目； 电芯：EVELF105 ；组合方式：16S2P ；电压：51.2V； 容量：210Ah； 电量：10.752KWh（955*260*580mm）带配重200KG，总重量380KG，带4G模块，带加热功能，放电口使用安德森SB175A颜色为BLUE ，充电口使用REMA DIN160A 要加防尘盖，自研BMS。（叉车型号：日输FBRA12-85C）,955.0,260.0,580.0,638,0
F48304G,EVE,51.2,304.0,1150x403x570,590.0,N/A,Toyota FBR15,304,16S1P,48,375,型号：F48304G叉车项目： 电芯：EVELF304 组合方式：16S1P 电压：51.2V 容量：304Ah 电量：15.56KWh。（箱体尺寸：1150x403x570mm)配重375KG，总重量590KG，带加热功能，带4G模块，自研BMS。(叉车型号：丰田7FBR15),1150.0,403.0,570.0,681,0
F48690B-A,瑞浦,51.2,690.0,975x540x650,813.0,N/A,Komatsu FB18-12,230,15S3P,48,460,"型号：F48690B-A叉车项目： 电芯：瑞浦LF230Ah ，组合方式：15S3P， 电压：48V， 容量：690Ah ，电量：33.12KWh，箱体尺寸：975*540*650mm，带配重460kg，总重量：813KG，带加热功能，带4G模块，放电接头为Anderson SB175Gray ,放电线长为1.3Ｍ, 显示屏线长３M，BMS-自研。（叉车型号：Komatsu FB18-12）",975.0,540.0,650.0,1212,1
F24280I,瑞浦,25.6,280.0,790x217x795,402.0,N/A,N/A,280,8S1P,24,301,型号：F24280I叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量301kg，总重量：402KG，箱体尺寸：790 x 217x 795mm）带加热功能，带4G模块，BMS-自研,790.0,217.0,795.0,205,1
F90460A,EVE,89.6,460.0,-,,N/A,N/A,230,28S2P,90,1350,型号：F90460A叉车项目： 电芯：EVELF230 组合方式：28S2P 电压：89.6V 容量：460Ah 电量：41.216KWh（带配重1350KG）,,,,1529,0
F48608AH,EVE,51.2,608.0,903x831x558,1140.0,N/A,Toyota FBH25,304,16S2P,48,715,型号： F48608AH叉车项目： 电芯：EVELF304; 组合方式：16S2P; 电压：51.2V ;容量：608Ah 电量：31.129KWh（箱体尺寸：903×831×558mm），配重715kg，总重量1140KG，带加热功能，带4G模块，BMS-自研。（叉车型号：TOYOTA8FBH25）,903.0,831.0,558.0,1155,0
F36690AB,EVE,38.4,690.0,1005x850x520,1543.0,N/A,N/A,230,12S3P,36,1240,"型号：F36690AB叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：1005*850*520mm）,（带配重，铁块重量：1240kg,总重量：1543kg）带4G模块，带加热功能，自研BMS.",1005.0,850.0,520.0,483,0
F48420AF-A,EVE,51.2,420.0,820x528x570,,N/A,N/A,105,16S4P,48,0,型号：F48420AF-A叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：820*528*570mm）不带配重，带加热，带4G模块，自研BMS，（尺寸与AF一致，注:行走14.6kwh和升举:14.2kwh）,820.0,528.0,570.0,759,0
F24460R,瑞浦,25.6,460.0,777x325x571,318.0,N/A,Yale MCW040E,230,8S2P,24,-,型号：F24460R叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（777x325x571mm），总重量318KG，带加热功能，带4G模块，加上盖，BMS-自研。（叉车型号:Yale MCW040E）,777.0,325.0,571.0,330,1
F24100G-B,EVE,25.6,105.0,635x180x538,,N/A,N/A,105,8S1P,24,-,型号：F24100G-B叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（635*180*538mm）带加热功能，带4G功能，自研BMS。（与F24100G-A-防水防尘增强型）,635.0,180.0,538.0,12,0
F80690T,瑞浦,80.0,690.0,1026x709x627,1300.0,N/A,Linde E25/30,230,25S3P,80,733,型号：F80690T叉车项目： 电芯：瑞浦230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1026*709*627mm）配重重量：733kg；总重量：1300KG，带加热功能，带4G模块，自研BMS，（叉车型号：Linde E25/30）,1026.0,709.0,627.0,1502,1
F24100X,瑞浦,25.6,100.0,635x146x571,136.0,N/A,Jungheinrich EJE120,100,8S1P,24,80,"型号：F24100X叉车项目： 电芯：瑞浦兰钧-LF100Ah; 组合方式：8S1P, 电压：25.6V, 容量：100Ah, 电量：2.56KWh，箱体尺寸：635*146*571mm，配重80KG，总重量：136KG，带加热功能，带4G功能，放电插头：SB175 gray,充电插头：美规插头，自研BMS。（叉车型号：Jung EJE120）",635.0,146.0,571.0,31,1
F48210B-C,EVE,51.2,210.0,950x370x550,480.0,N/A,N/A,105,16S2P,48,350,型号：F48210B-C叉车项目： 电芯：EVELF105 组合方式：16S2P 电压：51.2V 容量：210Ah 电量：10.752KWh（950*370*550mm）带配重，铁块重量350KG，总重量480KG，带4G模块，带加热功能，自研BMS(F48210B-B衍生款 修改了放电线长 discharge cable 1.8米）,950.0,370.0,550.0,627,0
F48560EG,瑞浦,51.2,560.0,900x420x518.5,354.0,N/A,TCM 600,280,16S2P,48,0,型号：F48560EG叉车项目： 电芯：亿纬LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，箱体尺寸：900×420×518.5mm，无配重，总重量：354KG，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，BMS-自研。（叉车型号：TCM 600）,900.0,420.0,518.5,1108,1
F80560R,瑞浦,80.0,560.0,1009.6x831.8x749,2136.36,N/A,N/A,280,25S2P,80,1671,型号：F80560R叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1009.6*831.8*749mm）总重量：2136.36kg，带配重，铁块重量：1671KG，带加热功能，带4G模块，自研BMS，适配Ecotec充电机,1009.6,831.8,749.0,1450,1
F36690BB,EVE,38.4,690.0,970x510x780,1190.0,N/A,N/A,230,12S3P,36,913,型号：F36690BB叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*510*780mm），带配重，铁块重量：913KG，总重量：1190KG，带加热功能，带4G模块，BMS-自研。,970.0,510.0,780.0,509,0
F24100G-E,EVE,25.6,105.0,635x180x538,55.0,N/A,Toyota 8HBW23,105,8S1P,24,-,"型号：F24100G-E叉车项目： 电芯：EVELF105 ,组合方式：8S1P ,电压：25.6V ,容量：105Ah ,电量：2.56KWh（635*180*538mm）总重量：55KG，带加热功能，带4G功能，自研BMS。（在F24100G-B基础上加了一个五金件电线架，其他部分跟F24100G-B保持一致）叉车型号：Toyota 8HBW23",635.0,180.0,538.0,15,0
F36690AK,EVE,38.4,690.0,962x415x776,711.0,N/A,N/A,230,12S3P,36,420,"型号：F36690AK叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：962*415*776mm）,（带配重，铁块重量：420kg,总重量：711kg）带4G模块，带加热功能，自研BMS",962.0,415.0,776.0,491,0
F24280AF,瑞浦,25.6,280.0,800x216x620,290.0,N/A,ICEM  TP80,280,8S1P,24,200,"型号：F24280AF叉车项目； 电芯：瑞浦280Ah； 组合方式：8S1P ；电压：25.6V； 容量：280Ah； 电量：7.168KWh，配重重量200kg，总重量：290KG，箱体尺寸：800*216*620mm，带加热功能，带4G模块；放电接头为Anderson SBE160 Red ,放电线长为1Ｍ, 显示屏线长1M；BMS-自研。（叉车型号：ICEM  TP80）",800.0,216.0,620.0,194,1
F48460FD,瑞浦,51.2,460.0,1030x990x533,1093.0,N/A,Hyundai 30B-9F,230,16S2P,48,768,型号：F48460FD叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P， 电压：51.2V ，容量：460Ah， 电量：23.552KWh，箱体尺寸：1030*990*533mm，配重768KG，总重量1093KG，带加热功能，带4G模块，放电线接口为Anderson 350 Grey，线长1.3m；显示屏线长3MM，自研BMS（叉车型号：Hyundai 30B-9F）,1030.0,990.0,533.0,974,1
