锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F24210AV,EVE,25.6,210.0,790x210x460,203.0,N/A,N/A,105,8S2P,24,130,型号：F24210AV叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（790*210*460mm）配重130；总重量：203KG，不带加热，带优克联4G，配国产的防护盖和防丢绳；BMS-自研。（叉车型号：暂未知）,790.0,210.0,460.0,121,0
F48315K,EVE,51.2,315.0,967x540x635 ,,N/A,N/A,105,16S3P,48,642,型号：F48315K叉车项目： 电芯：EVELF105 组合方式：16S3P 电压：51.2V 容量：315Ah 电量：16.128KWh（箱体尺寸：967*540*635 mm），带配重，配重方式：铁板；配重重量：642KG。,967.0,540.0,635.0,720,0
F36560U,瑞浦,38.4,560.0,970x434x749,1090.9,N/A,N/A,280,12S2P,36,848,"型号：F36560U叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：970*434*749mm）带配重，铁块848kg,总重量1090.9kg，BMS-自研，带加热功能，带4G模块。",970.0,434.0,749.0,448,1
F48840M,瑞浦,51.2,840.0,980x910x540,1400.0,N/A,Crown F5745-65,280,16S3P,48,970,型号：F48840M 叉车项目： 电芯：瑞浦280Ah 组合方式：16S3P 电压：51.2V 容量：840Ah 电量：43KWh。（带配重，箱体尺寸：980*910*540mm）配重970kg，总重量1400kg，带加热功能，带4G模块，BMS-自研。（叉车型号：Crown F5745-65）,980.0,910.0,540.0,1292,1
F48460CA,瑞浦,51.2,460.0,830x425x570,295.0,N/A,Yale ERP16VT,230,16S2P,48,-,型号：F48460CA叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.556KWh（箱体尺寸：830*425*570mm）总重量295KG，带4G模块，带加热功能，BMS-自研。（叉车型号：YALE ERP16VT 指定客户108297未转成交）,830.0,425.0,570.0,911,1
F48840N,瑞浦,51.2,840.0,1110x1150x595,1608.0,N/A,Hyster E120XN,280,16S3P,48,1017,型号：F48840N叉车项目： 电芯：瑞浦280Ah 组合方式：16S3P 电压：51.2V 容量：840Ah 电量：43KWh。（带配重，箱体尺寸：1110*1150*595mm）配重1017kg，总重量1608kg，不带加热功能，带4G模块，BMS-自研，充电用双枪方案。（叉车型号：Hyster E120XN）,1110.0,1150.0,595.0,1293,1
F48320F,EVE,51.2,320.0,830x630x627,850.0,N/A,N/A,160,16S2P,48,561,型号：F48320F 叉车项目： 电芯：EVELF160 组合方式：16S2P 电压：51.2V 容量：320Ah 电量：16.384KWh。（箱体尺寸：830*630*627mm），配重561KG，总重量：850KG，带加热功能，带4G模块，BMS-自研。,830.0,630.0,627.0,740,0
F48560AM,瑞浦,51.2,560.0,1221x425x782,1120.0,N/A,N/A,280,16S2P,48,782,型号：F48560AM 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 1221×425×782mm) 带配重，总重量：1120kg，铁块重量782kg，带4G模块，不带加热，BMS-自研。,1221.0,425.0,782.0,1012,1
F36840B,瑞浦,38.4,840.0,976x413x804,,N/A,N/A,280,12S3P,36,540,型号：F36840B叉车项目： 电芯：瑞浦280Ah ，组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：976*413*804mm）带配重，铁块重量：540KG，带4G模块，带加热功能，BMS-自研。,976.0,413.0,804.0,580,1
F24560Y,瑞浦,25.6,560.0,835x277x784,502.0,N/A,Linde V10,280,8S2P,24,390,"型号：F24560Y叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P，电压：25.6V ，容量：560Ah， 电量：14.336KWh，箱体最大尺寸：835*277*784mm，配重：390KG，总重量502kg，带加热功能，带4G模块，充电插头:    REMA 160A Male（公头）,放电插头： REMA 160A Female （母头），自研BMS。（叉车型号：Linde V10  ）",835.0,277.0,784.0,359,1
